Run,GT File,CER Strict,CER Standard,CER Loose,Accuracy Loose,Transcript,Timestamp
11,media_148393_1767860211615.txt,19.91%,20.86%,20.39%,79.61%,"えー。
おはようございます。三水建設の須田と申します。あ、いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、川村さんともどうなられてますか？あ、ちょっと今外出しちゃうんですけども。かしこまりました。はい。改めてご連絡させていただきます。はい、かしこまりました。すみません、どうもありがとうございます。はい、失礼いたします。",2026-09-17 11:18:19
12,media_148393_1767860211615.txt,57.35%,57.75%,56.31%,43.69%,⏳ Đang dịch: お電話ありがとうございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になってます。お世話になります。すみません、加藤さんと戻りなられてますか。あ、ちょっと今外出しちゃ。,2026-09-17 11:18:53
13,media_148393_1767860211615.txt,57.35%,57.75%,56.31%,43.69%,⏳ Đang dịch: お電話ありがとうございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になってます。お世話になります。すみません、加藤さんと戻りなられてますか。あ、ちょっと今外出しちゃ。,2026-09-17 11:18:54
14,media_148393_1767860211615.txt,57.35%,57.75%,56.31%,43.69%,⏳ Đang dịch: お電話ありがとうございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になってます。お世話になります。すみません、加藤さんと戻りなられてますか。あ、ちょっと今外出しちゃ。,2026-09-17 11:18:55
15,media_148284_1767766514646.txt,62.02%,60.70%,61.54%,38.46%,⏳ Đang dịch: ありがとうございます。保険代理店ベネフィットでございます。お世話になります。AJテクノロジーズの藤井と申します。配布者になります。お世話になります。すみません。今なんですけれども代表のおのざ様いらっしゃいますでしょうか。えっとちょっと出かけておりますね。あ。,2026-09-17 11:19:47
16,media_148280_1767762915627.txt,83.61%,84.51%,83.50%,16.50%,⏳ Đang dịch: ありがとうございます。三水建設の須藤と申します。いつもお世話になってます。A.J.テクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、川本さんともどうになられてますか。あ、ちょっと今外出しちゃってるんですけれども。かしこまりました。はい。じゃあまた改めてご連絡させていただきます。はい、かしこまります。,2026-09-17 11:29:59
17,media_148393_1767860211615.txt,14.69%,13.90%,13.59%,86.41%,ありがとうございます。三水建設の須藤と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、川本さんともどうになられてますか。あ、ちょっと今外出しちゃってるんですけれども。かしこまりました。ではまた改めてご連絡させていただきます。かしこまりました。すみません、どうもありがとうございます。はい、失礼いたします。失礼いたします。,2026-09-17 11:30:02
18,media_148393_1767860211615.txt,74.88%,76.47%,77.67%,22.33%,はい、丸健です。あ、いつもそうなってます。AJテクノロジーズの山下です。またお電話です。お疲れになります。すみません、伊集院さんと戻りになられてますか。どういったご用件でしょうか。あ、すみません、あのまたちょっと新しい企画を持ちたいなと思いまして。どういった内容でしょうか。あ、えっとですね。はい。あ、すみません、今いらっしゃらないですか。はい。あ、じゃあまた携帯の方に改めさせていただきます。はい、失礼します。はい、また遠征します。,2026-09-17 11:31:34
19,media_148394_1767860189485.txt,20.61%,20.30%,17.89%,82.11%,はい、丸健です。あ、いつもそうなってます。AJテクノロジーズの山下です。またお電話です。お疲れになります。すみません、伊集院さんと戻りになられてますか。どういったご用件でしょうか。あ、すみません、あのまたちょっと新しい企画を持ちたいなと思いまして。どういった内容でしょうか。あ、えっとですね。はい。あ、すみません、今いらっしゃらないですか。はい。あ、じゃあまた携帯の方に改めさせていただきます。はい、失礼します。はい、また遠征します。,2026-09-17 11:31:42
20,media_148414_1767922241264.txt,28.05%,25.13%,23.11%,76.89%,"はい、中央選手さん、管理方でございます。ええ、愛知県名古屋市の株式会社アセットジャパンといいますけれども、お世話になります。あの山内さんお見えでしょうか。山内は他の場所に出ておりまして、お取りがですね、中日前ぐらいにはなると思うんですけれども、承知いたしましてでは、あの急ぎではございませんので、またこちらから改めてさせていただきます。あ、わかります。もう一度、えっとお名前を返してよろしいですか。アセットジャパンの。はい。
伊藤でございます。はい。いや、あのじゃ一言すみません。午前後お願いできますでしょうか。はい、どうぞ。はい。またあの山内様あてにですね。はい。あの東浦町今度はですね、あの東浦町の物件についてあのメールでお問い合わせいたしますとお伝えください。かしこまりました。お伝えいたします。はい。ありがとうございます。失礼いたします。失礼いたします。",2026-09-17 11:33:04
21,media_148414_1767922241264.txt,85.07%,85.64%,83.33%,16.67%,⏳ Đang dịch: こんにちはエンカウントシネマさんの坂本です。お世話さんくまがいてございます。あ、おしゃべります。え、なります。すみません、先ほどの大衆のえっとお茶製の件なんですけども、はい。十四日の水曜日の、はい。十時からでお願いできますでしょうか。あ、わかりました。はい。じゃあ十四日水曜日の十時ですねにあのお伺いさせて。,2026-09-17 11:34:11
22,media_148439_1767926711644.txt,28.43%,27.93%,23.65%,76.35%,"こんにちはエンカムシネマさんの坂本です。お世話さんくまがいてございます。あ、おしゃべります。え、なります。すみません、先ほどの大衆のえっとお茶製の毛なんですけども、はい。十四日の水曜日の、はい。十時からでお願いできますでしょうか。あ、わかりました。はい。じゃあ十四日水曜日の十時ですねにあのお伺いさせていただきますので、はい、よろしくお願いいたします。お願いします。はい、失礼いたします。
失礼します。",2026-09-17 11:34:14
23,media_148954_1768789819598.txt,29.29%,24.60%,20.83%,79.17%,"はい、ありがとうございます。アセツジャパンです。お忙しいところ恐れ入ります。はい、私三菱UFJ銀行の横堀と申します。はい、お待たせします。おさなっております。え、温社でアルバイトを勤めていると聞いております。はい。え、中原リンカ様にご案内したいことがございまして、お電話をいたしました。はい。ご出勤でお取り引きと可能でしたらお願いしたいと思いますのでお電話した次第なんですが、えっと。
今は出勤中お休みみたいですね。まだあ本日お休みで書いていないので、はい。失礼いたしました。はい。そうしましたらあのご出勤されてからで結構なんですけども、はい。当行の方にお電話いただきたい旨の伝言をお願いすることはできるのでしょうか。はい。承ります。ありがとうございます。では改めまして私三菱UFJ銀行の横堀と申します。横堀様。はい。はい。でこちらのてあの電話番号なんですけども、はい。実はあの中原様
携帯電話の方にも何度かお電話しておりまして、はい。留守番電話にあの銀行名と電話番号などはですね、あの振り込みさせていただいてるんで番号自体はご存知でいらっしゃいます。あ、はい。はい。了承しました。はい。で営業あの受付の時間が平日朝9時から、はい。21時まで。21時。はい。はい。あと土日祝日が朝9時から、はい。ええ17時まで。17時。はい。私以外のものでも万能できるようにしていますので、はい。お電話いただきたい旨の電話お願いしてもよろしい。
でしょうか。はい、かしこまりました。申し付かります。大変お手数ですがよろしくお願いいたします。失礼いたします。",2026-09-17 11:36:24
24,media_149291_1769069811005.txt,20.25%,16.09%,14.10%,85.90%,"お待たせいたしました。はい、ちょっと担当がただいま席を外しておりまして不在にしておりまして、お、うちろ繰り返しご連絡させていただきたいんですけれども、はい、と繰り返しお電話させていただく際に今かけていただいてる携帯の番号でよろしいですか？はい、先生あの標準かかってきますか？あ、ちょっと確認させていただきますのでちょっと標準がもしかしたら難しいかもしれないんですけれども、はい、通話以降でも大丈夫そうですか？
うん。
ちょっと明日がはい。
通院あたりとかで多分出れないかもしれなくってあのそちらで間違ってはないんですかこの物件というかはいもうあの。
ポストのところにそのアセットジャパンって書いててこの電話番号が書いてある売り物件っていうのがカマが貼ってあるんですけど。ああ、それそうですね。問い合わせ先というかは間違ってないんです。お気軽にでも電話くださいっていうのが書いてあるんですけど。それは間違いないですね。はい。わかりました。えっとどうしようかな。うん。
まああうんわかりました大丈夫ですあでも当週か明日以降一度こちらから折り返しってことって大丈夫ですかはい大丈夫ですかしこまりましたでお電話番号松尾七一五三の携帯電話にかけさせていただきますねはい恐れ入りますお名前お伺いしてもよろしいですか島田と言います島田様ですあ島田ですあ島田様はいあ失礼いたしましたありがとうございますでえっと要件としましてはあのチラシを見てくださった
ということですか。あ、いいあのもう目の前の今受付の目の前にいるんですけど。あ、そうなんですね。ちょっと前まで多分その不動産のいろんな情報のところに載ってたんですけど。はい。なんかそれがもう見れなくなったって。はい。やしなんかもう売れてしまったんかなんなのかもよくわからんからとりあえず内見できるならさせてもらってお話をどういうなんかいろんなお話も聞きたいなと思ってたんですけど。あ、かしこまりました。でも。
案件ができるかどうかだったり、今売れたかどうかだったり、商品の面もちょっとはい、かしこまりたということですね。はい、そうです。かしこまります。ちょっと担当者のものに引き続きまして、もし協助かけれることができましたら協助をかけしますし、ちょっと難しければ追加になってしまうんですけれども。わかりました。大丈夫です。先生ありがとうございます。はい、お願いします。はい、失礼いたします。失礼します。",2026-09-17 11:39:36
25,media_149733_1769589919400.txt,54.93%,50.16%,47.27%,52.73%,"ありがとうございましたものです。あ、すみません、失礼です。えっと、お目指さんが1月19日にえの弊社から送りさせていただいておりまして、はい。お元々には届いてないっていう状態でしょうか。ああ、いや、今工場終わりでちょっとごめんなさい、現場から対象ありですかなしです。確認入ってたんです、すみません。
あと配達ありだと思います。あ、了解しました。スリラスターさんもですかね。もちろんです。あ、スリラスターさんも一緒ですよね。そしたらスリスリラスター。外人のことですか。
会社名ですかね、これ。
⏳ Đang dịch: 車掌の。",2026-09-17 11:42:11
26,media_149733_1769589919400.txt,46.20%,36.51%,33.06%,66.94%,"ではわかりましたものです。あ、すいません失礼です。ごめんなさい2000からお送りさせていただいてまして、はい。もともとは届いてないっていう状態でしょうか。ああいや今工場終わりでちょっとごめんなさい現場から最初終わりですかなしです。確認入ってたんですみません。
あと配達ありだと思います。あ、了解しました。スリラスターさんもですかね。もちろんです。あ、スリラスターさんも一緒ですよね。そしたらスリスリラッパー。外人の方ですか。
会社名ですかねこれ。
少々お待ちくださいね。
釣りラスト。
えーと、えーと。
東京メトロ副都心線
はい。
フリーザ様は購入なので、はい。解除書なしです。そして梅田さんだけありですね。梅田様はありです。はい。あ、わかりました。ありがとうございます。お願いいたします。あ、はい。よろしくお願いします。あ。",2026-09-17 11:44:24
